name,website
KraveBeauty,https://kravebeauty.com/
La Sportiva N.A.,https://www.lasportivausa.com/
Laid Back Snacks Inc.,https://laidbacksnacks.com/
Langley's Gin,https://www.langleysgin.com/
LifeStraw,https://lifestraw.com/
LOJEL,https://www.lojel.com/
loqa,https://www.loqa.co/
Lubanzi Wines,https://www.lubanziwines.com/
Maison Louis Marie,https://www.maisonlouismarie.com
Marnie Hawson Pty Ltd,https://www.marniehawson.com.au
MATE the Label,https://matethelabel.com/
MiiR,https://www.miir.com/
Molly Mutt,https://www.mollymutt.com/
Nanimarquina,https://nanimarquina.com/
Narrative Food,https://narrativefood.com/
Needed,https://thisisneeded.com/
"Nimble for Good, PBC (dba Nimble)",https://www.gonimble.com/
Nocs Provisions,https://www.nocsprovisions.com/
Nomad,https://nomadgoods.com/
NOMADIX,https://www.nomadix.co/
Numi Organic Tea,https://numitea.com/
Nécessaire,https://necessaire.com/
Ocio Leisurewear,https://ocioleisure.com/
Orbitkey,https://www.orbitkey.com/
Originate NBM,https://originatenbm.com/
OSEA Malibu,https://oseamalibu.com/
Peak Design,https://www.peakdesign.com
Pela Case,https://pelacase.com/
Perr & Knight Consulting,https://www.perrknight.com/
Petaluma,https://www.feedpetaluma.com
Planet+Purpose Solutions,https://www.planetpurposesolutions.com
PopSockets,https://www.popsockets.com/en-us/home
Post Company,https://postcompany.co
Preserve,https://www.preserve.eco/
Project Reef,https://projectreef.com/
Prose,https://prose.com
Pure Brewing,https://www.purebrewing.org/
QEJA SOCKS,https://qejasocks.com/
Rainbo,https://rainbo.com/
Reformation,https://www.thereformation.com/
REI,https://www.rei.com/
Renoun,https://renoun.com
Rizos Curls,https://rizoscurls.com/
Rumpl,https://www.rumpl.com/
Saltverk,https://saltverk.com/
salty aura,https://saltyaura.com/
SARDINE,
SAYLOR NYC INC,https://www.saylor.nyc/
Schilling Cider,https://schillingcider.com/
Seatrees,https://www.seatrees.org
Seed & Shell,
Sendle,https://www.sendle.com/
Simple & Dainty,https://simpleanddainty.com
Slow Loris,https://slowloris.com/
SmugMug,https://www.smugmug.com/
Snaplinc Consulting,https://snaplincconsulting.com/
Soar Organics,https://soarorganics.com/
Soleil Soleil,https://soleilsoleil.com.au/
Split Spirits,https://www.splitspirits.com/
Stickbulb,https://stickbulb.com/
Stio,https://www.stio.com
Stranda Snowboards,https://www.strandasnowboards.com
Sunski,https://sunski.com
Supercharge Ltd,https://supercharge.io/
Sutsu,https://sutsu.com/
Swagger,https://giveswagger.com/
Sweet Chef,https://sweetchefskincare.com/
TECODA,https://drinktecoda.com/
tentree,https://tentree.com
Thatcher,https://thatcherstudio.com/
The Change Climate Project,https://changeclimate.org/
The Earthling Co.,https://theearthlingco.com/
The Resell Club,https://www.theresellclub.com/
The Running Kind,https://therunningkind.net/
The Scrubba,https://thescrubba.com/
The Synergy Company,https://www.thesynergycompany.com
Their Jewelry,https://theirisours.com/
To-Go Ware,https://www.to-goware.com/
Topiku,https://www.topiku.co
TOPO Collective,https://www.topocollective.com
Tripulse,https://tripulse.co/
Turtle Fur,https://turtlefur.com/
Underscored,https://underscored.uk/
Unruled,https://beunruled.com/
Vahdam Teas,https://www.vahdam.com/
Vargo Outdoors,https://vargooutdoors.com/
Veerless,http://www.veerless.com
Vintner's Daughter,https://vintnersdaughter.com/
VIOLETTE_FR,https://www.violettefr.com
Weknowtransfers,https://weknowtransfers.com
WILDFANG,https://www.wildfang.com/
Will's Vegan Store,https://www.wills-vegan-store.co.uk
WOODSANDWAVES,https://www.woodsandwaves.co/
Xocolatl Chocolate,https://xocolatlchocolate.com/
YAMA Mountain Gear,https://yamamountaingear.com/
ZeroWasteStore,https://zerowastestore.com/
zkipster,https://www.zkipster.com
Zusa,https://zusa.com/
